RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,SEED,POSTSEASON
48,Utah St.,MWC,33,26,122.6,105.2,0.8528,56,51.8,16,20.2,MWC,33,26,122.6,105.2,0.8528,56,51.8,16,20.2,34.6,30.3,10,R64
49,Texas,SEC,34,19,116.7,100.2,0.8524,52.5,48.4,14.3,16.6,SEC,34,19,116.7,100.2,0.8524,52.5,48.4,14.3,16.6,29.8,29.7,11,
50,Boise St.,MWC,34,24,115.4,99.1,0.8519,52.1,49.6,16.9,16.1,MWC,34,24,115.4,99.1,0.8519,52.1,49.6,16.9,16.1,33.2,22.6,N/A,
51,Santa Clara,WCC,32,20,115.7,99.7,0.8469,55.5,49.5,17,16.9,WCC,32,20,115.7,99.7,0.8469,55.5,49.5,17,16.9,32.8,26.9,N/A,
52,Villanova,BE,33,19,118.6,102.5,0.8431,54.9,51.1,15.6,16,BE,33,19,118.6,102.5,0.8431,54.9,51.1,15.6,16,30.2,27.4,N/A,
53,San Diego St.,MWC,30,21,108.9,94.3,0.8388,50.6,45.3,16.8,19.7,MWC,30,21,108.9,94.3,0.8388,50.6,45.3,16.8,19.7,29.4,30.9,11,
54,Northwestern,B10,33,17,113.3,98.1,0.8387,49.8,49.9,14.9,19.8,B10,33,17,113.3,98.1,0.8387,49.8,49.9,14.9,19.8,31.2,30.1,N/A,
55,Indiana,B10,32,19,112.4,97.8,0.8317,51.1,49.8,16.7,16.4,B10,32,19,112.4,97.8,0.8317,51.1,49.8,16.7,16.4,31.5,28.1,N/A,
56,Liberty,CUSA,34,28,112.8,98.2,0.8308,58.4,45.9,15.3,16.9,CUSA,34,28,112.8,98.2,0.8308,58.4,45.9,15.3,16.9,18.9,28,12,R64
57,Kansas St.,B12,33,16,109.8,95.9,0.8249,50.6,49,17.7,18.1,B12,33,16,109.8,95.9,0.8249,50.6,49,17.7,18.1,29.4,31.7,N/A,
58,Drake,MVC,33,30,112.5,98.5,0.8229,53.8,51.7,18.6,22.1,MVC,33,30,112.5,98.5,0.8229,53.8,51.7,18.6,22.1,36,25.8,11,
59,USC,B10,33,16,116.8,102.8,0.8142,54.6,52.4,17.8,17.8,B10,33,16,116.8,102.8,0.8142,54.6,52.4,17.8,17.8,28.2,30.9,N/A,
60,Memphis,Amer,34,29,111.7,98.7,0.8059,53.6,48.5,19.2,19.1,Amer,34,29,111.7,98.7,0.8059,53.6,48.5,19.2,19.1,35.1,32.3,5,
61,San Francisco,WCC,33,24,111,98.1,0.8048,53,48.7,17,18.2,WCC,33,24,111,98.1,0.8048,53,48.7,17,18.2,29,28.1,N/A,
62,Nebraska,B10,31,17,111.9,99.2,0.7987,51.5,50.9,16.2,17.6,B10,31,17,111.9,99.2,0.7987,51.5,50.9,16.2,17.6,26.8,28.8,N/A,
63,McNeese St.,Slnd,33,27,113.4,100.7,0.7962,53.3,47.5,16.2,21.6,Slnd,33,27,113.4,100.7,0.7962,53.3,47.5,16.2,21.6,34.7,31.3,12,
64,Penn St.,B10,31,16,113.6,100.9,0.7956,54.1,51.9,17.4,19.8,B10,31,16,113.6,100.9,0.7956,54.1,51.9,17.4,19.8,28.6,29.1,N/A,
65,Arizona St.,B12,32,13,113.2,100.8,0.7915,51.4,50.5,17.5,16,B12,32,13,113.2,100.8,0.7915,51.4,50.5,17.5,16,25.2,30.4,N/A,
66,Iowa,B10,33,17,119.4,106.6,0.7877,56.8,54.4,13.7,17.9,B10,33,17,119.4,106.6,0.7877,56.8,54.4,13.7,17.9,25.1,32.2,N/A,
67,Utah,B12,32,16,112.5,100.5,0.7866,51.7,48.7,18.1,15.7,B12,32,16,112.5,100.5,0.7866,51.7,48.7,18.1,15.7,34.9,28.4,N/A,
68,Rutgers,B10,32,15,115.7,103.7,0.7783,50.6,52.8,15.4,17.4,B10,32,15,115.7,103.7,0.7783,50.6,52.8,15.4,17.4,30.8,32.2,N/A,
69,UCF,B12,33,17,115.5,103.6,0.7767,49.4,51.1,17.2,18.1,B12,33,17,115.5,103.6,0.7767,49.4,51.1,17.2,18.1,32.4,34.4,N/A,
70,Wake Forest,ACC,32,21,107.9,97.1,0.7722,49.4,47.2,16.7,19.7,ACC,32,21,107.9,97.1,0.7722,49.4,47.2,16.7,19.7,26.8,31.5,N/A,
71,George Mason,A10,34,26,105.7,95.1,0.7721,51.5,45,20,18.9,A10,34,26,105.7,95.1,0.7721,51.5,45,20,18.9,32.1,29.1,N/A,
72,Pittsburgh,ACC,32,17,113.9,102.7,0.7664,52.2,51.1,14.8,18.3,ACC,32,17,113.9,102.7,0.7664,52.2,51.1,14.8,18.3,29,29.9,N/A,
73,North Texas,Amer,32,24,109.2,98.7,0.7627,51.6,46.8,17,19.5,Amer,32,24,109.2,98.7,0.7627,51.6,46.8,17,19.5,33.1,27.7,N/A,
74,TCU,B12,32,16,106.3,96.1,0.7608,46.8,50.9,17.3,19.5,B12,32,16,106.3,96.1,0.7608,46.8,50.9,17.3,19.5,33,29.6,N/A,
75,Stanford,ACC,33,20,112.3,101.6,0.7595,50.4,50.6,15.8,17.6,ACC,33,20,112.3,101.6,0.7595,50.4,50.6,15.8,17.6,31.1,28.2,N/A,
76,South Carolina,SEC,32,12,109.8,99.4,0.7579,48.9,51.5,18.4,15.6,SEC,32,12,109.8,99.4,0.7579,48.9,51.5,18.4,15.6,30.4,27.3,N/A,
77,Butler,BE,33,14,116,105.3,0.754,53,49.4,16.4,11.5,BE,33,14,116,105.3,0.754,53,49.4,16.4,11.5,26.4,29.3,N/A,
78,Dayton,A10,32,22,114.7,104.3,0.7471,52.6,50.4,15.5,17.7,A10,32,22,114.7,104.3,0.7471,52.6,50.4,15.5,17.7,29.6,28.8,N/A,
79,Yale,Ivy,29,22,113.9,103.7,0.7461,54.8,48.8,14.4,16.1,Ivy,29,22,113.9,103.7,0.7461,54.8,48.8,14.4,16.1,33.2,25.8,13,
80,UC Irvine,BW,34,28,106.4,96.9,0.7446,51.6,46.2,18.3,17.9,BW,34,28,106.4,96.9,0.7446,51.6,46.2,18.3,17.9,28.5,25.9,N/A,
81,Colorado,B12,34,14,108.5,98.9,0.7426,50.6,49.5,21,16.4,B12,34,14,108.5,98.9,0.7426,50.6,49.5,21,16.4,28.9,28.3,N/A,
82,Saint Joseph's,A10,34,22,110.7,101.1,0.7393,52.1,47.1,16.6,16.1,A10,34,22,110.7,101.1,0.7393,52.1,47.1,16.6,16.1,30.4,27.4,N/A,
83,Grand Canyon,WAC,33,26,108.5,99.5,0.7316,51.2,47,18.4,20.6,WAC,33,26,108.5,99.5,0.7316,51.2,47,18.4,20.6,32.5,28.6,13,
84,LSU,SEC,32,14,108.5,99.6,0.7284,51.1,48.3,18.6,16.5,SEC,32,14,108.5,99.6,0.7284,51.1,48.3,18.6,16.5,29.5,34.3,N/A,
85,High Point,BSth,34,29,117.7,108.1,0.7262,56.4,49.1,15.3,16.5,BSth,34,29,117.7,108.1,0.7262,56.4,49.1,15.3,16.5,34,29.9,13,
86,Minnesota,B10,32,15,109.9,101.5,0.7148,49.9,50.1,16.6,16.3,B10,32,15,109.9,101.5,0.7148,49.9,50.1,16.6,16.3,30.2,30.6,N/A,
87,Oklahoma St.,B12,32,15,107.8,99.6,0.7137,48.3,53.5,19.1,20.6,B12,32,15,107.8,99.6,0.7137,48.3,53.5,19.1,20.6,31,29.4,N/A,
88,Nevada,MWC,33,17,112.1,103.8,0.7075,53.7,51.3,15.5,18.7,MWC,33,17,112.1,103.8,0.7075,53.7,51.3,15.5,18.7,27.4,26.5,N/A,
89,UNLV,MWC,33,18,106.9,99.2,0.7024,49.7,49.3,16.2,17.8,MWC,33,18,106.9,99.2,0.7024,49.7,49.3,16.2,17.8,27.3,29.8,N/A,
90,Georgia Tech,ACC,33,17,107.4,99.8,0.6993,50.4,48.8,17.4,15.6,ACC,33,17,107.4,99.8,0.6993,50.4,48.8,17.4,15.6,30.5,28.6,N/A,
91,Oregon St.,WCC,32,20,116,108,0.695,54.6,51.1,16.6,16.6,WCC,32,20,116,108,0.695,54.6,51.1,16.6,16.6,31.8,27.6,N/A,
92,St. Bonaventure,A10,33,22,106.5,99.2,0.6927,50.2,49.7,16,18.7,A10,33,22,106.5,99.2,0.6927,50.2,49.7,16,18.7,28,26.9,N/A,
93,Florida St.,ACC,32,17,107.8,100.5,0.6917,50.7,48.5,17.4,19.1,ACC,32,17,107.8,100.5,0.6917,50.7,48.5,17.4,19.1,29.7,31.8,N/A,
94,Georgetown,BE,32,17,107.1,99.9,0.69,50.4,49.4,17.1,19.6,BE,32,17,107.1,99.9,0.69,50.4,49.4,17.1,19.6,31.6,28.9,N/A,
95,Arkansas St.,SB,34,24,109.7,102.5,0.685,49.3,45.7,15,17.1,SB,34,24,109.7,102.5,0.685,49.3,45.7,15,17.1,33.9,30.6,N/A,
96,Virginia,ACC,32,15,111.6,104.5,0.6819,52.7,50.8,16.4,15.7,ACC,32,15,111.6,104.5,0.6819,52.7,50.8,16.4,15.7,22.4,29.7,N/A,
97,Notre Dame,ACC,33,15,110.6,103.6,0.6777,51.7,51.4,16.5,14.9,ACC,33,15,110.6,103.6,0.6777,51.7,51.4,16.5,14.9,29.6,26,N/A,
98,Loyola Chicago,A10,33,22,107.8,101.1,0.6765,52.6,49,17.6,17.9,A10,33,22,107.8,101.1,0.6765,52.6,49,17.6,17.9,29.9,27.5,N/A,
99,Bradley,MVC,34,26,111,104.2,0.6751,56.8,47.9,17.3,15.6,MVC,34,26,111,104.2,0.6751,56.8,47.9,17.3,15.6,26.3,28.1,N/A,
100,Akron,MAC,34,28,113.7,106.8,0.6717,55.4,49.5,16.6,17.2,MAC,34,28,113.7,106.8,0.6717,55.4,49.5,16.6,17.2,33.3,29,13,
101,Lipscomb,ASun,34,25,110.7,104,0.6716,55.9,48.6,14.4,15.9,ASun,34,25,110.7,104,0.6716,55.9,48.6,14.4,15.9,24,26.5,14,
102,UAB,Amer,34,22,117.2,110.2,0.6711,50.7,51.6,13.9,15.5,Amer,34,22,117.2,110.2,0.6711,50.7,51.6,13.9,15.5,38.8,30.7,N/A,
103,Troy,SB,33,23,106.7,100.6,0.6613,50.1,47.2,19.9,19.8,SB,33,23,106.7,100.6,0.6613,50.1,47.2,19.9,19.8,38.6,32,14,
