RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,SEED,POSTSEASON
292,San Diego,WCC,33,6,100.1,111,0.2333,45.7,54,18.4,18.5,WCC,33,6,100.1,111,0.2333,45.7,54,18.4,18.5,29.9,31.6,N/A,
293,Old Dominion,SB,35,15,99.4,110.6,0.2266,44.1,51.2,16.9,16,SB,35,15,99.4,110.6,0.2266,44.1,51.2,16.9,16,36.4,32,N/A,
294,Lafayette,Pat,33,13,97.6,108.7,0.2263,50.2,50.4,16.6,16.7,Pat,33,13,97.6,108.7,0.2263,50.2,50.4,16.6,16.7,24,28,N/A,
295,Saint Peter's,MAAC,28,12,94.8,105.5,0.226,44.7,47.3,20.7,17.6,MAAC,28,12,94.8,105.5,0.226,44.7,47.3,20.7,17.6,37,31,N/A,
296,Bethune Cookman,SWAC,33,17,97.3,108.5,0.223,48.2,48.8,19.5,16.7,SWAC,33,17,97.3,108.5,0.223,48.2,48.8,19.5,16.7,28.8,30,N/A,
297,Oral Roberts,Sum,30,7,103.8,115.7,0.222,50,55,16.3,13.9,Sum,30,7,103.8,115.7,0.222,50,55,16.3,13.9,22.6,33.1,N/A,
298,Utah Tech,WAC,33,7,101.7,113.7,0.2185,48.8,53,18.3,17.4,WAC,33,7,101.7,113.7,0.2185,48.8,53,18.3,17.4,26.2,33.5,N/A,
299,Columbia,Ivy,27,12,104.2,116.5,0.2172,52.6,56.4,15.4,16.4,Ivy,27,12,104.2,116.5,0.2172,52.6,56.4,15.4,16.4,25.9,26.7,N/A,
300,Lehigh,Pat,30,11,99.5,111.3,0.2161,51.1,50.7,15.6,16.1,Pat,30,11,99.5,111.3,0.2161,51.1,50.7,15.6,16.1,21.4,29.1,N/A,
301,Saint Francis,NEC,33,16,99.9,112,0.2114,51.6,51.3,19.6,16.4,NEC,33,16,99.9,112,0.2114,51.6,51.3,19.6,16.4,25.4,30,16,
302,Howard,MEAC,32,12,103.1,115.7,0.21,53.5,52.3,21.2,16.5,MEAC,32,12,103.1,115.7,0.21,53.5,52.3,21.2,16.5,29,33.8,N/A,
303,Penn,Ivy,27,8,103.1,115.7,0.209,49.4,53,16.4,13.4,Ivy,27,8,103.1,115.7,0.209,49.4,53,16.4,13.4,26.8,29.7,N/A,
304,Fairleigh Dickinson,NEC,33,13,97.7,109.7,0.2073,49.1,50.5,17.1,17.6,NEC,33,13,97.7,109.7,0.2073,49.1,50.5,17.1,17.6,25.9,32,N/A,
305,Louisiana,SB,33,12,97.4,109.7,0.2042,45.7,51.3,16,19.1,SB,33,12,97.4,109.7,0.2042,45.7,51.3,16,19.1,25.9,35.5,N/A,
306,Southern Miss,SB,33,11,96.4,108.6,0.2021,47.9,50.2,19.5,16.1,SB,33,11,96.4,108.6,0.2021,47.9,50.2,19.5,16.1,28.1,30.2,N/A,
307,Rider,MAAC,33,14,101.8,114.8,0.2013,47.7,53.1,17.2,16,MAAC,33,14,101.8,114.8,0.2013,47.7,53.1,17.2,16,32.2,30.7,N/A,
308,Charleston Southern,BSth,32,10,99,111.6,0.2007,48.7,53.4,19.9,13.5,BSth,32,10,99,111.6,0.2007,48.7,53.4,19.9,13.5,31.2,28.2,N/A,
309,Long Beach St.,BW,32,7,100.7,113.6,0.2,49.2,53.4,21.7,17.1,BW,32,7,100.7,113.6,0.2,49.2,53.4,21.7,17.1,28.5,34.9,N/A,
310,Loyola MD,Pat,31,12,99.7,112.7,0.1972,50.1,52.8,17.7,16.9,Pat,31,12,99.7,112.7,0.1972,50.1,52.8,17.7,16.9,28.6,27.9,N/A,
311,VMI,SC,34,15,98.4,111.3,0.1947,48.5,54.2,18,17.6,SC,34,15,98.4,111.3,0.1947,48.5,54.2,18,17.6,25.2,32.1,N/A,
312,Army,Pat,31,16,100.1,113.4,0.1935,49.7,53.7,14.7,16,Pat,31,16,100.1,113.4,0.1935,49.7,53.7,14.7,16,25.8,29.3,N/A,
313,Delaware St.,MEAC,30,16,100.9,114.3,0.1923,48.8,53.8,18.1,20,MEAC,30,16,100.9,114.3,0.1923,48.8,53.8,18.1,20,34,32.1,N/A,
314,IU Indy,Horz,32,10,109,123.5,0.1921,50.4,57,15.7,16,Horz,32,10,109,123.5,0.1921,50.4,57,15.7,16,30.6,33.6,N/A,
315,Eastern Illinois,OVC,31,12,93.3,105.8,0.1912,44.1,51,18.7,20.8,OVC,31,12,93.3,105.8,0.1912,44.1,51,18.7,20.8,30,30.9,N/A,
316,Binghamton,AE,32,15,98.8,112.1,0.1891,51.6,49.7,19.6,12.8,AE,32,15,98.8,112.1,0.1891,51.6,49.7,19.6,12.8,26.9,26.9,N/A,
317,Boston University,Pat,32,16,98.1,111.4,0.189,50.2,52.4,20.6,16.7,Pat,32,16,98.1,111.4,0.189,50.2,52.4,20.6,16.7,32.5,23.4,N/A,
318,UMBC,AE,32,13,104.8,119,0.1873,55.2,54.1,15.9,17.4,AE,32,13,104.8,119,0.1873,55.2,54.1,15.9,17.4,19.4,33.7,N/A,
319,Lindenwood,OVC,33,16,94.5,107.6,0.1826,45,50.7,17.9,19.4,OVC,33,16,94.5,107.6,0.1826,45,50.7,17.9,19.4,30,31.5,N/A,
320,North Carolina Central,MEAC,33,14,102.4,116.7,0.1823,50.1,54.8,19.2,21,MEAC,33,14,102.4,116.7,0.1823,50.1,54.8,19.2,21,34.6,38.8,N/A,
321,Morehead St.,OVC,32,15,98,111.7,0.1818,45.9,50.3,18.4,14.4,OVC,32,15,98,111.7,0.1818,45.9,50.3,18.4,14.4,31.2,25.4,N/A,
322,Alcorn St.,SWAC,32,11,97.3,110.9,0.1816,46.1,53,19.6,18.3,SWAC,32,11,97.3,110.9,0.1816,46.1,53,19.6,18.3,33.6,32.5,N/A,
323,Grambling St.,SWAC,34,12,95.3,108.6,0.1816,47.3,49.3,19.2,18.3,SWAC,34,12,95.3,108.6,0.1816,47.3,49.3,19.2,18.3,26.3,31.1,N/A,
324,Coastal Carolina,SB,32,10,100.8,115,0.1789,49.4,48.6,18.4,10.5,SB,32,10,100.8,115,0.1789,49.4,48.6,18.4,10.5,29,28.7,N/A,
325,Southern Utah,WAC,31,12,95.8,109.4,0.1787,46.8,49.9,21.6,15.1,WAC,31,12,95.8,109.4,0.1787,46.8,49.9,21.6,15.1,30.1,32,N/A,
326,Florida A&M,SWAC,31,14,101.9,116.4,0.178,50.6,51.4,20.7,15.4,SWAC,31,14,101.9,116.4,0.178,50.6,51.4,20.7,15.4,27.7,31.9,N/A,
327,Niagara,MAAC,31,11,100.6,115.3,0.1724,52,53,18.6,16.8,MAAC,31,11,100.6,115.3,0.1724,52,53,18.6,16.8,23.6,27.3,N/A,
328,Stonehill,NEC,32,15,99.9,115,0.166,51.1,50.9,18.3,16.2,NEC,32,15,99.9,115,0.166,51.1,50.9,18.3,16.2,26.4,29.4,N/A,
329,Holy Cross,Pat,32,13,100.7,115.8,0.1657,53.1,53.5,17.9,13.6,Pat,32,13,100.7,115.8,0.1657,53.1,53.5,17.9,13.6,23.3,27,N/A,
330,Green Bay,Horz,32,4,100.4,115.8,0.1624,50.9,54.8,18,14.6,Horz,32,4,100.4,115.8,0.1624,50.9,54.8,18,14.6,18.4,32,N/A,
331,Stony Brook,CAA,32,8,101.6,117.3,0.1607,47.7,56,18.3,14.9,CAA,32,8,101.6,117.3,0.1607,47.7,56,18.3,14.9,29.5,31.2,N/A,
332,Texas A&M Commerce,Slnd,31,5,96.2,111.2,0.1583,49.2,53.8,22.5,19.9,Slnd,31,5,96.2,111.2,0.1583,49.2,53.8,22.5,19.9,28.1,35.9,N/A,
333,Mercyhurst,NEC,31,15,100,115.8,0.1558,48.6,55,16.4,20.3,NEC,31,15,100,115.8,0.1558,48.6,55,16.4,20.3,22.2,33.3,N/A,
334,USC Upstate,BSth,32,6,99.1,114.9,0.1541,49.8,56.1,19,16.6,BSth,32,6,99.1,114.9,0.1541,49.8,56.1,19,16.6,25.3,32.4,N/A,
335,Fairfield,MAAC,32,12,97.3,113.3,0.1481,46.3,53.7,15.5,18.2,MAAC,32,12,97.3,113.3,0.1481,46.3,53.7,15.5,18.2,28.6,31,N/A,
336,Southern Indiana,OVC,30,10,98.6,114.8,0.1481,47.9,51.8,17.2,16.7,OVC,30,10,98.6,114.8,0.1481,47.9,51.8,17.2,16.7,27.9,31.3,N/A,
337,Morgan St.,MEAC,32,14,100.4,117,0.1479,49,52.4,17.9,17,MEAC,32,14,100.4,117,0.1479,49,52.4,17.9,17,34.1,36.9,N/A,
338,Bellarmine,ASun,31,5,103.5,120.5,0.1472,53.7,58.1,17.4,15.4,ASun,31,5,103.5,120.5,0.1472,53.7,58.1,17.4,15.4,20.2,30,N/A,
339,North Carolina A&T,CAA,32,7,96.4,112.6,0.1442,45.8,51.5,15.4,15.3,CAA,32,7,96.4,112.6,0.1442,45.8,51.5,15.4,15.3,27,31.4,N/A,
340,Wagner,NEC,30,14,93.1,109.1,0.139,43.7,50.4,19.4,18.2,NEC,30,14,93.1,109.1,0.139,43.7,50.4,19.4,18.2,31.7,25,N/A,
341,Western Carolina,SC,30,8,95.4,112.4,0.1324,45.4,51.1,19,13.5,SC,30,8,95.4,112.4,0.1324,45.4,51.1,19,13.5,25.7,29.4,N/A,
342,Western Illinois,OVC,31,12,99.1,116.8,0.132,50.1,51.1,18.2,14.4,OVC,31,12,99.1,116.8,0.132,50.1,51.1,18.2,14.4,28.1,31.8,N/A,
343,West Georgia,ASun,31,6,97.1,114.5,0.1309,47.2,56.1,16.3,16.6,ASun,31,6,97.1,114.5,0.1309,47.2,56.1,16.3,16.6,26.1,29.2,N/A,
344,Louisiana Monroe,SB,32,7,96.5,114.5,0.1228,45,53.6,17.1,16.1,SB,32,7,96.5,114.5,0.1228,45,53.6,17.1,16.1,29,32.5,N/A,
345,Buffalo,MAC,31,9,95.4,113.2,0.1227,48.8,54.2,19.5,16.2,MAC,31,9,95.4,113.2,0.1227,48.8,54.2,19.5,16.2,24.8,31.3,N/A,
346,Detroit Mercy,Horz,32,8,94.6,112.3,0.1216,45.6,51.2,19.1,15.5,Horz,32,8,94.6,112.3,0.1216,45.6,51.2,19.1,15.5,31.9,30.5,N/A,
347,Le Moyne,NEC,32,9,102.7,122.2,0.1189,51.5,54.7,19.6,16.3,NEC,32,9,102.7,122.2,0.1189,51.5,54.7,19.6,16.3,25.7,32.9,N/A,
348,Sacramento St.,BSky,32,7,95.4,113.6,0.1187,48,55.1,20.3,17.1,BSky,32,7,95.4,113.6,0.1187,48,55.1,20.3,17.1,27.4,27.6,N/A,
349,Northern Illinois,MAC,31,6,94,112.1,0.1168,47.1,53.2,16.3,16.6,MAC,31,6,94,112.1,0.1168,47.1,53.2,16.3,16.6,17.8,30.8,N/A,
350,New Orleans,Slnd,31,4,98.8,117.9,0.1161,45.9,54.9,18.8,16.1,Slnd,31,4,98.8,117.9,0.1161,45.9,54.9,18.8,16.1,31.6,35.5,N/A,
351,Central Arkansas,ASun,33,9,97.4,116.6,0.1122,47.4,56.8,18.2,16.7,ASun,33,9,97.4,116.6,0.1122,47.4,56.8,18.2,16.7,28.6,30,N/A,
352,Stetson,ASun,32,8,99.2,119,0.1092,50.2,53.1,18.7,13.1,ASun,32,8,99.2,119,0.1092,50.2,53.1,18.7,13.1,24.1,34.3,N/A,
353,NJIT,AE,31,6,94,113.5,0.1024,45.3,50,18,13.8,AE,31,6,94,113.5,0.1024,45.3,50,18,13.8,27.7,31.8,N/A,
354,Cal St. Fullerton,BW,32,6,92.1,111.7,0.0973,44.2,54.3,21.3,16.1,BW,32,6,92.1,111.7,0.0973,44.2,54.3,21.3,16.1,25.9,29.8,N/A,
355,Canisius,MAAC,31,3,99.1,121.1,0.0912,51.2,56.9,18.5,16.4,MAAC,31,3,99.1,121.1,0.0912,51.2,56.9,18.5,16.4,18.3,34.3,N/A,
356,New Hampshire,AE,32,8,93.8,115.1,0.0873,47.1,54.4,19,16.9,AE,32,8,93.8,115.1,0.0873,47.1,54.4,19,16.9,27.4,31.6,N/A,
357,Prairie View A&M,SWAC,32,5,95.9,117.7,0.0867,48.2,56.2,16.7,20,SWAC,32,5,95.9,117.7,0.0867,48.2,56.2,16.7,20,24.5,39.1,N/A,
358,Alabama A&M,SWAC,32,10,92.8,114.9,0.0793,45.1,54.3,21.9,21,SWAC,32,10,92.8,114.9,0.0793,45.1,54.3,21.9,21,33.9,34.6,N/A,
359,Maryland Eastern Shore,MEAC,31,6,94.8,118.8,0.0699,45.7,55.3,19.7,15.5,MEAC,31,6,94.8,118.8,0.0699,45.7,55.3,19.7,15.5,27.1,34.1,N/A,
360,The Citadel,SC,30,5,93.6,117.5,0.0687,46.9,54.5,19.5,15.2,SC,30,5,93.6,117.5,0.0687,46.9,54.5,19.5,15.2,27.2,32,N/A,
361,Chicago St.,NEC,32,4,92.5,116.1,0.0682,44.4,54.9,18.5,18.2,NEC,32,4,92.5,116.1,0.0682,44.4,54.9,18.5,18.2,22.6,33.6,N/A,
362,Coppin St.,MEAC,30,6,87.8,112.4,0.055,44,55.6,21.6,20.5,MEAC,30,6,87.8,112.4,0.055,44,55.6,21.6,20.5,26.5,33.9,N/A,
363,Arkansas Pine Bluff,SWAC,31,6,95,121.7,0.0549,50.3,56.3,20.4,16.8,SWAC,31,6,95,121.7,0.0549,50.3,56.3,20.4,16.8,26.3,34.6,N/A,
364,Mississippi Valley St.,SWAC,31,3,82.9,125.2,0.0086,42.1,57.9,24.3,15,SWAC,31,3,82.9,125.2,0.0086,42.1,57.9,24.3,15,22.7,38,N/A,
